DOW,SP100,NAV
12217.56,1257.6,9.73
12397.38,1277.06,9.91
12418.42,1277.3,9.88
12415.7,1281.06,9.93
12359.92,1277.81,9.91
12392.69,1280.7,9.93
12462.47,1292.08,10.08
12449.45,1292.48,10.14
12471.02,1295.5,10.19
12422.06,1289.09,10.08
12482.07,1293.67,10.07
12578.95,1308.04,10.29
12623.98,1314.5,10.34
12720.48,1315.38,10.38
12708.82,1316,10.38
12675.75,1314.65,10.44
12756.96,1326.05,10.54
12734.63,1318.43,10.46
12660.46,1316.33,10.55
12653.72,1313.01,10.45
12632.91,1312.41,10.41
12716.46,1324.09,10.64
12705.41,1325.54,10.69
12862.23,1344.9,10.95
12845.13,1344.33,10.92
12878.2,1347.05,10.92
12883.95,1349.96,10.97
12890.46,1351.95,10.95
12801.23,1342.64,10.79
12874.04,1351.77,10.92
12878.28,1350.5,10.88
12780.95,1343.23,10.81
12904.08,1358.04,11.04
12949.87,1361.23,11.06
12965.69,1362.21,11.01
12938.67,1357.66,10.91
12984.69,1363.46,11.05
12982.95,1365.74,11.01
12981.51,1367.59,11
13005.12,1372.18,10.97
12952.07,1365.68,10.81
12980.3,1374.09,10.88
12977.57,1369.63,10.72
12962.81,1364.33,10.69
12759.15,1343.36,10.45
12837.33,1352.63,10.58
12907.94,1365.91,10.73
12922.02,1370.87,10.88
12959.71,1371.09,10.82
13177.68,1395.95,11.09
13194.1,1394.28,11
13252.76,1402.6,11.14
13232.62,1404.17,11.13
13239.13,1409.75,11.22
13170.19,1405.52,11.1
13124.62,1402.89,11.08
13046.14,1392.78,10.94
13080.73,1397.11,11.05
13241.63,1416.51,11.23
13197.73,1412.52,11.15
13126.21,1405.54,11.08
13145.82,1403.28,11.05
13212.04,1408.47,11.01
13264.49,1419.04,11.12
13199.55,1413.38,11.05
13074.75,1398.96,10.87
13060.14,1398.08,10.82
12929.59,1382.2,10.64
12715.93,1358.59,10.39
12805.39,1368.71,10.55
12986.58,1387.57,10.76
12849.59,1370.26,10.56
12921.41,1369.57,10.58
13115.54,1390.78,10.75
13032.75,1385.14,10.64
12964.1,1376.92,10.59
13029.26,1378.53,10.63
12927.17,1366.94,10.47
13001.56,1371.97,10.56
13090.72,1390.69,10.73
13204.62,1399.98,10.8
13228.31,1403.36,10.89
13213.63,1397.91,10.78
13279.32,1405.82,10.79
13268.57,1402.31,10.82
13206.59,1391.57,10.64
13038.27,1369.1,10.43
13008.53,1369.58,10.46
12932.09,1363.72,10.44
12835.06,1354.58,10.39
12855.04,1357.99,10.42
12820.6,1353.39,10.38
12695.35,1338.35,10.24
12632,1330.66,10.2
12598.55,1324.8,10.1
12442.49,1304.86,9.88
12369.38,1295.22,9.77
12504.48,1315.99,9.99
12502.81,1316.63,9.92
12496.15,1318.86,10
12529.75,1320.68,10.01
12454.83,1317.82,10.01
12580.69,1332.42,10.17
12419.86,1313.32,9.95
12393.45,1310.33,9.94
12118.57,1278.04,9.62
12101.46,1278.18,9.58
12127.95,1285.5,9.68
12414.79,1315.13,9.94
12460.96,1314.99,9.88
12554.2,1325.66,9.97
12411.23,1308.93,9.71
12573.8,1324.18,9.85
12496.38,1314.88,9.72
12651.91,1329.1,9.84
12767.17,1342.84,9.96
12741.82,1344.78,9.97
12837.33,1357.98,10.17
12824.39,1355.69,10.16
12573.57,1325.51,9.88
12640.78,1335.02,10
12502.66,1313.72,9.81
12534.67,1319.99,9.86
12627.01,1331.85,10.01
12602.26,1329.04,10.04
12880.09,1362.16,10.34
12871.39,1365.51,10.44
12943.82,1374.02,10.58
12896.67,1367.58,10.58
12772.47,1354.68,10.46
12736.29,1352.46,10.4
12653.12,1341.47,10.29
12604.53,1341.45,10.25
12573.27,1334.76,10.2
12777.09,1356.78,10.34
12727.21,1353.64,10.27
12805.54,1363.67,10.31
12908.7,1372.78,10.38
12943.36,1376.51,10.35
12822.57,1362.66,10.22
12721.46,1350.52,10.06
12617.32,1338.31,9.91
12676.05,1337.89,9.91
12887.93,1360.02,10.06
13075.66,1385.97,10.31
13073.01,1385.3,10.27
13008.68,1379.32,10.23
12971.06,1375.14,10.07
12878.88,1365,10.04
13096.17,1390.99,10.3
13117.51,1394.23,10.39
13168.6,1401.35,10.5
13175.64,1402.22,10.53
13165.19,1402.8,10.59
13207.95,1405.87,10.58
13169.43,1404.11,10.56
13172.14,1403.93,10.53
13164.78,1405.53,10.62
13250.11,1415.51,10.75
13275.2,1418.16,10.84
13271.64,1418.13,10.82
13203.58,1413.17,10.81
13172.76,1413.49,10.75
13057.46,1402.08,10.65
13157.97,1411.13,10.69
13124.67,1410.44,10.68
13102.99,1409.3,10.72
13107.48,1410.49,10.76
13000.71,1399.48,10.65
13090.84,1406.58,10.71
13035.94,1404.94,10.81
13047.48,1403.44,10.81
13292,1432.12,11.04
13306.64,1437.92,11.14
13254.29,1429.08,11.1
13323.36,1433.56,11.17
13333.35,1436.56,11.23
13539.86,1459.99,11.39
13593.37,1465.77,11.54
13553.1,1461.19,11.41
13564.64,1459.32,11.36
13577.96,1461.05,11.39
13596.93,1460.26,11.34
13579.47,1460.15,11.37
13558.92,1456.89,11.33
13457.55,1441.59,11.14
13413.51,1433.32,11.06
13485.97,1447.15,11.2
13437.13,1440.67,11.1
13515.11,1444.49,11.15
13482.36,1445.75,11.18
13494.61,1450.99,11.16
13575.36,1461.4,11.28
13610.15,1460.93,11.3
13583.65,1455.88,11.24
13473.53,1441.48,11.11
13344.97,1432.56,11.07
13326.39,1432.84,11.12
13328.85,1428.59,11.02
13424.23,1440.13,11.1
13551.78,1454.92,11.21
13557,1460.91,11.33
13548.94,1457.34,11.28
13343.51,1433.19,11.09
13345.89,1433.82,11.09
13102.53,1413.11,10.99
13077.34,1408.75,10.98
13103.68,1412.97,11
13107.21,1411.94,10.96
13096.46,1412.16,11.02
13232.62,1427.59,11.2
13093.16,1414.2,11.04
13112.44,1417.26,11.12
13245.68,1428.39,11.24
12932.73,1394.53,10.93
12811.32,1377.51,10.78
12815.39,1379.85,10.8
12815.08,1380.03,10.77
12756.18,1374.53,10.72
12570.95,1355.49,10.51
12542.38,1353.33,10.46
12588.31,1359.88,10.54
12795.96,1386.89,10.77
12788.51,1387.81,10.79
12836.89,1391.03,10.86
13009.68,1409.15,10.99
12967.37,1406.29,11
12878.13,1398.94,10.98
12985.11,1409.93,11.07
13021.82,1415.95,11.18
13025.58,1416.18,11.19
12965.6,1409.46,11.15
12951.78,1407.05,11.17
13034.49,1409.28,11.15
13074.04,1413.94,11.17
13155.13,1418.07,11.19
13169.88,1418.55,11.25
13248.44,1427.84,11.34
13245.45,1428.48,11.3
13170.72,1419.45,11.23
13135.01,1413.58,11.24
13235.39,1430.36,11.39
13350.96,1446.79,11.56
13251.97,1435.81,11.29
13311.72,1443.69,11.35
13190.84,1430.15,11.26
13139.08,1426.66,11.22
13114.59,1419.83,11.14
13096.31,1418.1,11.12
12938.11,1402.43,11.03
13104.14,1426.19,11.27
13412.55,1462.42,11.58
13391.36,1459.37,11.58
13435.21,1466.47,11.68
13384.29,1461.89,11.6
13328.85,1457.15,11.58
13390.51,1461.02,11.62
13471.22,1472.12,11.67
13488.43,1472.05,11.66
13507.32,1470.68,11.64
13534.89,1472.34,11.7
13511.23,1472.63,11.69
13596.02,1480.94,11.81
13649.7,1485.98,11.84
13712.21,1492.56,11.94
13779.33,1494.81,11.93
13825.33,1494.82,11.97
13895.98,1502.96,12.03
13881.93,1500.18,12.05
13954.42,1507.84,12.08
13910.42,1501.96,11.95
13860.58,1498.11,12.03
14009.79,1513.17,12.15
13880.08,1495.71,11.97
13979.3,1511.29,12.1
13986.52,1512.12,12.16
13944.05,1509.39,12.16
13992.97,1517.93,12.24
13971.24,1517.01,12.24
14018.7,1519.43,12.32
13982.91,1520.33,12.37
13973.39,1521.38,12.43
13981.76,1519.79,12.42
14035.67,1530.94,12.54
13927.54,1511.95,12.23
13880.62,1502.42,12.13
14000.57,1515.6,12.25
13784.17,1487.85,11.95
13900.13,1496.94,12.04
14075.37,1515.99,12.19
14054.49,1514.68,12.18
14089.66,1518.2,12.19
14127.82,1525.2,12.22
14253.77,1539.79,12.38
14296.24,1541.46,12.43
14329.49,1544.26,12.5
14397.07,1551.18,12.61
14447.29,1556.22,12.63
14450.06,1552.48,12.62
14455.28,1554.52,12.67
14539.14,1563.23,12.81
14514.11,1560.7,12.8
14452.06,1552.1,12.74
14455.82,1548.34,12.71
14511.73,1558.71,12.84
14421.49,1545.8,12.72
14512.03,1556.89,12.73
14447.75,1551.69,12.72
14559.65,1563.77,12.76
14526.16,1562.85,12.76
14578.54,1569.19,12.78
14572.85,1562.17,12.61
14662.01,1570.25,12.51
14550.35,1553.69,12.3
14606.11,1559.98,12.38
14565.25,1553.28,12.36
14613.48,1563.07,12.47
14673.46,1568.61,12.47
14802.24,1587.73,12.67
14865.14,1593.37,12.69
14865.06,1588.85,12.61
14599.2,1552.36,12.1
14756.78,1574.57,12.3
14618.59,1552.01,12.05
14537.14,1541.61,11.99
14547.51,1555.25,12.12
14567.17,1562.5,12.15
14719.46,1578.78,12.36
14676.3,1578.79,12.49
14700.8,1585.16,12.56
14712.55,1582.24,12.47
14818.75,1593.61,12.56
14839.8,1597.57,12.63
14700.95,1582.7,12.33
14831.58,1597.59,12.55
14973.96,1614.42,12.77
14968.89,1617.5,12.89
15056.2,1625.96,13
15105.12,1632.69,13.04
15082.62,1626.67,12.99
15118.49,1633.7,13.08
15091.68,1633.77,13.04
15215.25,1650.34,13.2
15275.69,1658.78,13.26
15233.22,1650.47,13.18
15354.4,1667.47,13.35
15335.28,1666.29,13.41
15387.58,1669.16,13.4
15307.17,1655.35,13.19
15294.5,1650.51,13.22
15303.1,1649.6,13.2
15409.39,1660.06,13.38
15302.8,1648.36,13.3
15324.53,1654.41,13.41
15115.57,1630.74,13.28
15254.03,1640.42,13.36
15177.54,1631.38,13.24
14960.59,1608.9,13.05
15040.62,1622.56,13.2
15248.12,1643.38,13.33
15238.59,1642.81,13.41
15122.02,1626.13,13.24
14995.23,1612.52,13.13
15176.08,1636.36,13.38
15070.18,1626.73,13.25
15179.85,1639.04,13.34
15318.23,1651.81,13.48
15112.19,1628.93,13.32
14758.32,1588.19,13.02
14799.4,1592.43,13.02
14659.56,1573.09,12.83
14760.31,1588.03,12.99
14910.14,1603.26,13.03
15024.49,1613.2,13.23
14909.6,1606.28,13.21
14974.96,1614.96,13.39
14932.41,1614.08,13.36
14988.55,1615.41,13.37
15135.84,1631.89,13.59
15224.69,1640.46,13.62
15300.34,1652.32,13.76
15291.66,1652.62,13.76
15460.92,1675.02,13.92
15464.3,1680.19,13.98
15484.26,1682.5,14.05
15451.85,1676.26,13.98
15470.52,1680.91,14.03
15548.54,1689.37,14.14
15543.74,1692.09,14.15
15545.55,1695.53,14.21
15567.74,1692.39,14.2
15542.24,1685.94,14.12
15555.61,1690.25,14.22
15558.83,1691.65,14.14
15521.97,1685.33,14.03
15520.59,1685.96,14.08
15499.54,1685.73,14.14
15628.02,1706.87,14.36
15658.36,1709.67,14.34
15612.13,1707.14,14.37
15518.74,1697.37,14.21
15470.67,1690.91,14.1
15498.32,1697.48,14.17
15425.51,1691.42,14.14
15419.68,1689.47,14.2
15451.01,1694.16,14.19
15337.66,1685.39,14.13
15112.19,1661.32,13.9
15081.47,1655.83,13.88
15010.74,1646.06,13.72
15002.99,1652.35,13.9
14897.55,1642.8,13.79
14963.74,1656.96,14
15010.51,1663.5,14.01
14946.46,1656.78,14
14776.13,1630.48,13.63
14824.51,1634.96,13.69
14840.95,1638.17,13.8
14810.31,1632.97,13.57
14833.96,1639.77,13.65
14930.87,1653.08,13.76
14937.48,1655.08,13.82
14922.5,1655.17,13.81
15063.12,1671.71,14
15191.06,1683.99,14.13
15326.6,1689.13,14.16
15300.64,1683.42,14.06
15376.06,1687.99,14.14
15494.78,1697.6,14.19
15529.73,1704.76,14.3
15676.94,1725.52,14.4
15636.55,1722.34,14.36
15451.09,1709.91,14.31
15401.38,1701.84,14.27
15334.59,1697.42,14.33
15273.26,1692.77,14.35
15328.3,1698.67,14.38
15258.24,1691.75,14.32
15129.67,1681.55,14.32
15191.7,1695,14.5
15133.14,1693.87,14.44
14996.48,1678.66,14.3
15072.58,1690.5,14.41
14936.24,1676.12,14.23
14776.53,1655.45,14.04
14802.98,1656.4,14.02
15126.07,1692.56,14.35
15237.11,1703.2,14.55
15301.26,1710.14,14.63
15168.01,1698.06,14.51
15373.83,1721.54,14.67
15371.65,1733.15,14.79
15399.65,1744.5,14.95
15392.2,1744.66,14.95
15467.66,1754.67,15.01
15413.33,1746.38,14.9
15509.21,1752.07,14.98
15570.28,1759.77,15
15568.93,1762.11,15.01
15680.35,1771.95,15.08
15618.76,1763.31,14.93
15545.75,1756.54,14.86
15615.55,1761.64,14.85
15639.12,1767.93,15.04
15618.22,1762.97,14.98
15746.88,1770.49,14.95
15593.98,1747.15,14.69
15761.78,1770.61,14.98
15783.1,1771.89,15.02
15750.67,1767.69,15.01
15821.63,1782,15.17
15876.22,1790.62,15.21
15961.7,1798.18,15.25
15976.02,1791.53,15.14
15967.03,1787.87,15.04
15900.82,1781.37,15.03
16009.99,1795.85,15.25
16064.77,1804.76,15.32
16072.54,1802.48,15.32
16072.8,1802.75,15.42
16097.33,1807.23,15.51
16086.41,1805.81,15.54
16008.77,1800.9,15.39
15914.62,1795.15,15.33
15889.77,1792.81,15.3
15821.51,1785.03,15.3
16020.2,1805.09,15.43
16025.53,1808.37,15.42
15973.13,1802.62,15.32
15843.53,1782.22,15.1
15739.43,1775.5,15.1
15755.36,1775.32,15.16
15884.57,1786.54,15.32
15875.26,1781,15.3
16167.97,1810.65,14.68
16179.08,1809.6,14.62
16221.14,1818.32,14.85
16294.61,1827.99,15
16357.55,1833.32,15.08
16479.88,1842.02,15.09
16478.41,1841.4,15.09
16504.29,1841.07,15.08
16576.66,1848.36,15.13
16441.35,1831.98,14.96
16469.99,1831.37,15
16425.1,1826.77,14.88
16530.94,1837.88,14.98
16462.74,1837.49,14.97
16444.76,1838.13,14.95
16437.05,1842.37,15
16257.94,1819.2,14.79
16373.86,1838.88,14.96
16481.94,1848.38,15.06
16417.01,1845.89,15.05
16458.56,1838.7,14.98
16414.44,1843.8,15.06
16373.34,1844.86,15.14
16197.35,1828.46,15
15879.11,1790.29,14.6
15837.88,1781.56,14.45
15928.56,1792.5,14.57
15738.79,1774.2,14.39
15848.61,1794.19,14.56
15698.85,1782.59,14.43
15372.8,1741.89,13.98
15445.24,1755.2,14.1
15440.23,1751.64,14.01
15628.53,1773.43,14.17
15794.08,1797.02,14.27
15801.79,1799.84,14.29
15994.77,1819.75,14.42
15963.94,1819.26,14.48
16027.59,1829.83,14.66
16154.39,1838.63,14.71
16130.4,1840.76,14.83
16040.56,1828.75,14.68
16133.23,1839.78,14.84
16103.3,1836.25,14.85
16207.14,1847.61,14.98
16179.66,1845.12,14.96
16198.41,1845.16,15.06
16272.65,1854.29,15.17
16321.71,1859.45,15.19
16168.03,1845.73,15.09
16395.88,1873.91,15.46
16360.18,1873.81,15.44
16421.89,1877.03,15.5
16452.72,1878.04,15.51
16418.68,1877.17,15.47
16351.25,1867.63,15.29
16340.08,1868.2,15.34
16108.89,1846.34,15.14
16065.67,1841.13,15.2
16247.22,1858.83,15.29
16336.19,1872.25,15.5
16222.17,1860.77,15.43
16331.05,1872.01,15.51
16302.77,1866.52,15.52
16276.69,1857.44,15.4
16367.88,1865.62,15.42
16268.99,1852.56,15.17
16264.23,1849.04,15.09
16323.06,1857.62,15.18
16457.66,1872.34,15.46
16532.61,1885.52,15.63
16573,1890.9,15.72
16572.55,1888.77,15.64
16412.71,1865.09,15.34
16245.87,1845.04,15.09
16256.14,1851.96,15.21
16437.18,1872.18,15.37
16170.22,1833.08,15.01
16026.75,1815.69,14.83
16173.24,1830.61,14.9
16262.56,1842.98,14.96
16424.85,1862.31,15.11
16408.54,1864.85,15.2
16449.25,1871.89,15.26
16514.37,1879.55,15.39
16501.65,1875.39,15.35
16501.65,1878.61,15.32
16361.46,1863.4,15.09
16448.74,1869.43,14.99
16535.37,1878.33,15.04
16580.84,1883.95,15.13
16558.87,1883.68,15.1
16512.89,1881.14,15.17
16530.55,1884.66,15.11
16401.02,1867.72,14.91
16518.54,1878.21,14.97
16550.97,1875.63,14.83
16583.34,1878.48,14.92
16695.47,1896.65,15.25
16715.44,1897.45,15.14
16613.97,1888.53,14.88
16446.81,1870.85,14.75
16491.31,1877.86,14.82
16511.86,1885.08,14.97
16374.31,1872.83,14.77
16533.06,1888.03,14.86
16543.08,1892.49,14.96
16606.27,1900.53,15.07
16675.5,1911.91,15.22
16633.18,1909.78,15.18
16698.74,1920.03,15.23
16717.17,1923.57,15.18
16743.63,1924.97,15.15
16722.34,1924.24,15.12
16737.53,1927.88,15.2
16836.11,1940.46,15.44
16924.28,1949.44,15.58
16943.1,1951.27,15.71
16945.92,1950.79,15.67
16843.88,1943.89,15.57
16734.19,1930.11,15.48
16775.74,1936.16,15.5
16781.01,1937.78,15.5
16808.49,1941.99,15.64
16906.62,1956.98,15.7
16921.46,1959.48,15.71
16947.08,1962.87,15.74
16937.26,1962.61,15.7
16818.13,1949.98,15.53
16867.51,1959.53,15.67
16846.13,1957.22,15.65
16851.84,1960.96,15.73
16826.6,1960.23,15.81
16956.07,1973.32,15.98
16976.24,1974.62,15.92
17068.26,1985.44,16.05
17024.21,1977.65,15.81
16906.62,1963.71,15.66
16985.61,1972.83,15.69
16915.07,1964.68,15.53
16943.81,1967.57,15.5
17055.42,1977.1,15.58
17060.68,1973.28,15.46
17138.2,1981.57,15.48
16976.81,1958.12,15.27
17100.18,1978.22,15.47
17051.73,1973.63,15.41
17113.54,1983.53,15.52
17086.63,1987.01,15.5
17083.8,1987.98,15.46
16960.57,1978.34,15.34
16982.59,1978.91,15.27
16912.11,1969.95,15.25
16880.36,1970.07,15.29
16563.3,1930.67,14.97
16493.37,1925.15,14.92
16569.28,1938.99,15.03
16429.47,1920.21,14.98
16443.34,1920.24,15.06
16368.27,1909.57,14.96
16553.93,1931.59,15.11
16569.98,1936.92,15.23
16560.54,1933.75,15.14
16651.8,1946.72,15.23
16713.58,1955.18,15.27
16662.91,1955.06,15.25
16838.74,1971.74,15.46
16919.59,1981.6,15.52
16979.13,1986.51,15.49
17039.49,1992.37,15.56
17001.22,1988.4,15.56
17076.87,1997.92,15.61
17106.7,2000.02,15.7
17122.01,2000.12,15.68
17079.57,1996.74,15.61
17098.45,2003.37,15.7
17067.56,2002.28,15.76
17078.28,2000.72,15.68
17069.58,1997.65,15.61
17137.36,2007.71,15.64
17111.42,2001.54,15.61
17013.87,1988.44,15.46
17068.71,1995.69,15.51
17049,1997.45,15.61
16987.51,1985.54,15.49
17031.14,1984.13,15.37
17131.97,1998.98,15.43
17156.85,2001.57,15.45
17265.99,2011.36,15.52
17279.74,2010.4,15.35
17172.68,1994.29,15.12
17055.87,1982.77,14.98
17210.06,1998.3,15.05
16945.8,1965.99,14.81
17113.15,1982.85,14.92
17071.22,1977.8,14.87
17042.9,1972.29,14.68
16804.71,1946.16,14.45
16801.05,1946.17,14.54
17009.69,1967.9,14.61
16991.91,1964.82,14.51
16719.39,1935.1,14.27
16994.22,1968.89,14.48
16659.25,1928.21,14.06
16544.1,1906.13,13.84
16321.07,1874.74,13.73
16315.19,1877.7,13.86
16141.74,1862.49,13.95
16117.24,1862.76,14.13
16380.41,1886.76,14.11
16399.67,1904.01,14.24
16614.81,1941.28,14.53
16461.32,1927.11,14.32
16677.9,1950.82,14.56
16805.41,1964.58,14.6
16817.94,1961.63,14.53
17005.75,1985.05,14.94
16974.31,1982.3,14.94
17195.42,1994.65,14.99
17390.52,2018.05,15.24
17366.24,2017.81,15.19
17383.84,2012.1,15.09
17484.53,2023.57,15.16
17554.47,2031.21,15.23
17573.93,2031.92,15.28
17613.74,2038.26,15.29
17614.9,2039.68,15.28
17612.2,2038.25,15.39
17652.79,2039.33,15.26
17634.74,2039.82,15.29
17647.75,2041.32,15.16
17687.82,2051.8,15.22
17685.73,2048.72,15.08
17719,2052.75,15.27
17810.06,2063.5,15.31
17817.9,2069.41,15.45
17814.94,2067.03,15.44
17827.75,2072.83,15.42
17828.24,2067.56,15.11
17776.8,2053.44,14.87
17879.55,2066.55,14.99
17912.62,2074.33,15.16
17900.1,2071.92,15.09
17958.79,2075.37,15.2
17852.48,2060.31,14.97
17801.2,2059.82,15.17
17533.15,2026.14,14.8
17596.34,2035.33,14.84
17280.83,2002.33,14.59
17180.84,1989.63,14.47
17068.87,1972.74,12.6
17356.87,2012.89,12.98
17778.15,2061.23,13.17
17804.8,2070.65,13.24
17959.44,2078.54,13.29
18024.17,2082.17,13.38
18030.21,2081.88,13.4
18053.71,2088.77,13.47
18038.23,2090.57,13.53
17983.07,2080.35,13.5
17823.07,2058.9,13.4
17832.99,2058.2,13.31
17501.65,2020.58,13.05
17371.64,2002.61,12.81
17584.52,2025.9,12.92
17907.87,2062.14,13.15
17737.37,2044.81,13.01
17640.84,2028.26,12.91
17613.68,2023.03,12.92
17427.09,2011.27,12.84
17320.71,1992.67,12.63
17511.57,2019.42,12.86
17515.23,2022.55,12.76
17554.28,2032.12,12.79
17813.98,2063.15,13.07
17672.6,2051.82,13
17678.7,2057.09,13.13
17387.21,2029.55,13.06
17191.37,2002.16,12.83
17416.85,2021.25,12.97
17164.95,1994.99,12.75
17361.04,2020.85,12.93
17666.4,2050.03,13.22
17673.02,2041.51,13.15
17884.88,2062.52,13.33
17824.29,2055.47,13.38
17729.21,2046.74,13.31
17868.76,2068.59,13.34
17862.14,2068.53,13.32
17972.38,2088.48,13.48
18019.35,2096.99,13.57
18047.58,2100.34,13.57
18029.85,2099.68,13.55
17985.77,2097.45,13.56
18140.44,2110.3,13.58
18116.84,2109.66,13.54
18209.19,2115.48,13.62
18224.57,2113.86,13.6
18214.42,2110.74,13.63
18132.7,2104.5,13.58
18288.63,2117.39,13.67
18203.37,2107.78,13.59
18096.9,2098.53,13.54
18135.72,2101.04,13.55
17856.78,2071.26,13.43
17995.72,2079.43,13.47
17662.94,2044.16,13.25
17635.39,2040.24,13.34
17895.22,2065.95,13.56
17749.31,2053.4,13.5
17977.42,2081.19,13.57
17849.08,2074.28,13.6
18076.19,2099.5,13.73
17959.03,2089.27,13.69
18127.65,2108.1,13.84
18116.04,2104.42,13.87
18011.14,2091.5,13.87
17718.54,2061.05,13.63
17678.23,2056.15,13.6
17712.66,2061.02,13.64
17976.31,2086.24,13.83
17776.12,2067.89,13.78
17698.18,2059.69,13.78
17763.24,2066.96,13.84
17880.85,2080.62,13.91
17875.42,2076.33,13.83
17902.51,2081.9,13.9
17958.73,2091.18,13.89
18057.65,2102.06,13.92
17977.04,2092.43,13.93
18036.7,2095.84,13.93
18112.61,2106.63,14.07
18105.77,2104.99,14.01
17826.3,2081.18,13.79
18034.93,2100.4,13.92
17949.59,2097.29,13.88
18038.27,2107.96,13.91
18058.69,2112.93,13.96
18080.14,2117.69,13.92
18037.97,2108.92,13.82
18110.14,2114.76,13.95
18035.53,2106.85,13.87
17840.52,2085.51,13.66
18024.06,2108.29,13.74
18070.4,2114.49,13.77
17928.2,2089.46,13.64
17841.98,2080.15,13.65
17924.06,2088,13.68
18191.11,2116.1,13.79
18105.17,2105.33,13.81
18068.23,2099.12,13.78
18060.49,2098.48,13.8
18252.24,2121.1,13.91
18272.56,2122.73,13.88
18298.88,2129.2,14.01
18312.39,2127.83,13.97
18285.4,2125.85,13.98
18285.74,2130.82,13.99
18232.02,2126.06,13.93
18041.54,2104.2,13.75
18162.99,2123.48,13.9
18126.12,2120.79,13.89
18010.68,2107.39,13.82
18040.37,2111.73,13.83
18011.94,2109.6,13.9
18076.27,2114.07,14.03
17905.58,2095.84,13.87
17849.46,2092.83,13.98
17766.55,2079.28,13.87
17764.04,2080.15,13.86
18000.4,2105.2,14.07
18039.37,2108.86,14.08
17898.84,2094.11,14.03
17791.17,2084.43,13.95
17904.48,2096.29,14.04
17935.74,2100.44,13.98
18115.84,2121.24,14.1
18015.95,2109.99,14.09
18119.78,2122.85,14.18
18144.07,2124.2,14.26
17966.07,2108.58,14.14
17890.36,2102.31,14.12
17946.68,2101.49,14.11
17596.35,2057.64,13.76
17619.51,2063.11,13.78
17757.91,2077.42,13.82
17730.11,2076.78,13.73
17683.58,2068.76,13.67
17776.91,2081.34,13.67
17515.42,2046.68,13.46
17548.62,2051.31,13.48
17760.41,2076.62,13.64
17977.68,2099.6,13.76
18053.58,2108.95,13.83
18050.17,2107.4,13.71
18120.25,2124.29,13.75
18086.45,2126.64,13.64
18100.41,2128.28,13.55
17919.29,2119.21,13.5
17851.04,2114.15,13.51
17731.92,2102.15,13.36
17568.53,2079.65,13.19
17440.59,2067.64,13.06
17630.27,2093.25,13.18
17751.39,2108.57,13.32
17745.98,2108.63,13.35
17689.86,2103.84,13.38
17598.2,2098.04,13.3
17550.69,2093.32,13.3
17540.47,2099.84,13.37
17419.75,2083.56,13.33
17373.38,2077.57,13.24
17615.17,2104.18,13.48
17402.84,2084.07,13.38
17402.51,2086.05,13.33
17408.25,2083.39,13.29
17477.4,2091.54,13.4
17545.18,2102.44,13.47
17511.34,2096.92,13.38
17348.73,2079.61,13.23
16990.69,2035.73,12.95
16459.75,1970.89,12.73
15871.35,1893.21,12.24
15666.44,1867.61,12.13
16285.51,1940.51,12.43
16654.77,1987.66,12.71
16643.01,1988.87,12.81
16528.03,1972.18,12.87
16058.35,1913.85,12.5
16351.38,1948.86,12.66
16374.76,1951.13,12.7
16102.38,1921.22,12.57
16492.68,1969.41,12.82
16253.57,1942.04,12.69
16330.4,1952.29,12.72
16433.09,1961.05,12.73
16370.96,1953.03,12.66
16599.85,1978.09,12.82
16739.95,1995.31,12.95
16674.74,1990.2,12.91
16384.58,1958.03,12.66
16510.19,1966.97,12.72
16330.47,1942.74,12.53
16279.89,1938.76,12.48
16201.32,1932.24,12.49
16314.67,1931.34,12.44
16001.89,1881.77,12.16
16049.13,1884.09,12.14
16284.7,1920.03,12.3
16272.01,1923.82,12.26
16472.37,1951.36,12.41
16776.43,1987.05,12.75
16790.19,1979.92,12.77
16912.29,1995.83,12.95
17050.75,2013.43,13.14
17084.49,2014.89,13.13
17131.86,2017.46,13.11
17081.89,2003.69,12.98
16924.75,1994.24,12.88
17141.75,2023.86,13.08
17215.97,2033.11,13.02
17230.54,2033.66,13.01
17217.11,2030.77,13.09
17168.61,2018.94,12.89
17489.16,2052.51,13.02
17646.7,2075.15,13.1
17623.05,2071.18,13.01
17581.43,2065.89,12.81
17779.52,2090.35,13.16
17755.8,2089.41,13.06
17663.54,2079.36,13.01
17828.76,2104.05,13.26
17918.15,2109.79,13.33
17867.58,2102.31,13.29
17863.43,2099.93,13.32
17910.33,2099.2,13.44
17730.48,2078.58,13.26
17758.21,2081.72,13.29
17702.22,2075,13.18
17448.07,2045.97,12.9
17245.24,2023.04,12.82
17483.01,2053.19,12.95
17489.5,2050.44,12.91
17737.16,2083.58,13.13
17732.75,2081.24,13.08
17823.81,2089.17,13.15
17792.68,2086.59,13.19
17812.19,2089.14,13.29
17813.39,2088.87,13.34
17798.49,2090.11,13.36
17719.92,2080.41,13.34
17888.35,2102.63,13.43
17729.68,2079.51,13.27
17477.67,2049.62,13.09
17847.63,2091.69,13.19
17730.51,2077.07,12.96
17568,2063.59,12.82
17492.3,2047.62,12.69
17574.75,2052.23,12.72
17265.21,2012.37,12.45
17368.5,2021.94,12.36
17524.91,2043.41,12.53
17749.09,2073.07,12.66
17495.84,2041.89,11.37
17128.55,2005.55,11.2
17251.62,2021.15,11.29
17417.27,2038.97,11.42
17602.61,2064.29,11.6
17552.17,2060.99,11.62
