Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,82.540001,83.029999,81.660004,82.339996,1498400,81.903427
2013-03-01,76.370003,83.07,75.620003,82.650002,1019400,82.211792
2013-02-01,73.800003,81.440002,72.139999,76.339996,1234800,75.878334
2013-01-02,73.489998,76.709999,71.480003,73.519997,703000,73.075386
2012-12-03,73.510002,75.440002,70.019997,72.349998,723700,71.912468
2012-11-01,70.639999,84.00,70.080002,73.150002,1485200,72.647789
2012-10-01,68.529999,71.120003,64.360001,70.940002,870500,70.452965
2012-09-04,71.120003,72.129997,66.910004,68.440002,1081000,67.970131
2012-08-01,70.489998,73.059998,66.309998,71.120003,1174400,70.569122
2012-07-02,68.400002,74.389999,66.970001,70.150002,1299800,69.606636
2012-06-01,71.510002,74.870003,60.869999,68.220001,1569900,67.691582
2012-05-01,91.260002,92.519997,66.029999,72.940002,1750000,72.311966
2012-04-02,88.75,93.080002,87.889999,91.800003,828200,91.009575
2012-03-01,85.730003,91.050003,85.25,88.57,974600,87.807381
2012-02-01,77.080002,87.489998,75.690002,85.370003,1492600,84.577759
2012-01-03,71.139999,77.07,68.790001,76.639999,775100,75.928772
2011-12-01,68.940002,71.690002,66.709999,69.629997,730700,68.983818
2011-11-01,63.509998,71.00,63.02,69.220001,991100,68.51799
2011-10-03,57.84,66.93,55.610001,65.07,723600,64.410072
2011-09-01,60.799999,63.59,57.830002,58.099998,974400,57.510761
2011-08-01,55.439999,61.25,49.50,60.720001,1735800,60.045734
2011-07-01,58.439999,60.00,54.150002,54.970001,1374200,54.359585
2011-06-01,62.139999,62.139999,56.580002,58.490002,1567000,57.8405
2011-05-02,65.290001,72.32,61.349998,62.099998,1671900,61.347843
2011-04-01,65.980003,68.849998,63.330002,65.459999,924800,64.667145
2011-03-01,62.990002,66.860001,61.990002,65.620003,993600,64.825211
2011-02-01,64.220001,67.00,60.349998,62.68,1457000,61.863651
2011-01-03,66.50,66.739998,60.09,63.939999,1051000,63.107239
2010-12-01,66.620003,69.510002,65.739998,66.150002,631500,65.28846
2010-11-01,65.290001,68.879997,64.190002,65.989998,1060600,65.072548
2010-10-01,59.220001,65.010002,57.220001,64.980003,787300,64.076599
2010-09-01,55.080002,60.209999,55.080002,58.68,882400,57.864182
2010-08-02,54.130001,56.209999,51.689999,54.470001,1166100,53.657539
2010-07-01,50.380001,55.779999,49.759998,53.529999,1114500,52.73156
2010-06-01,51.740002,52.34,47.759998,50.18,1405500,49.431526
2010-05-03,45.130001,52.009998,42.189999,51.759998,1890000,50.927162
2010-04-01,42.119999,46.880001,41.759998,45.099998,1472800,44.374325
2010-03-01,40.869999,44.110001,40.650002,41.919998,1576000,41.245491
2010-02-01,39.549999,43.099998,39.080002,40.799999,1939400,40.088722
2010-01-04,40.700001,41.040001,38.380001,39.450001,1409800,38.762257
2009-12-01,39.419998,41.77,39.259998,40.48,1448000,39.7743
2009-11-02,37.610001,41.049999,36.41,39.299999,2671000,38.559151
2009-10-01,39.25,39.919998,36.110001,37.259998,2328300,36.557606
2009-09-01,42.040001,42.75,38.080002,39.279999,2691500,38.539528
2009-08-03,46.529999,47.080002,41.540001,42.299999,1935700,41.440838
2009-07-01,41.709999,47.41,41.490002,46.23,1363400,45.291016
2009-06-01,43.189999,45.450001,40.50,41.490002,1792000,40.647289
2009-05-01,43.779999,45.200001,39.50,42.59,2327800,41.665142
2009-04-01,40.52,44.889999,38.110001,43.75,2139400,42.79995
2009-03-02,37.689999,42.389999,35.490002,41.080002,2469500,40.187935
2009-02-02,32.18,38.75,31.639999,38.25,2842900,37.362038
2009-01-02,33.860001,34.549999,29.50,32.73,1319200,31.970182
2008-12-01,29.450001,34.439999,28.120001,33.650002,1354700,32.868828
2008-11-03,30.92,31.68,24.030001,30.360001,1508900,29.598192
2008-10-01,41.240002,41.240002,24.110001,31.200001,2626000,30.417116
2008-09-02,43.580002,45.52,37.509998,39.66,1685300,38.664833
2008-08-01,41.529999,45.00,40.889999,43.040001,1705100,41.896843
2008-07-01,38.32,42.91,35.240002,41.09,1595300,39.998634
2008-06-02,40.27,41.98,38.220001,38.830002,2023700,37.798664
2008-05-01,34.75,41.27,33.139999,40.299999,1766800,39.172512
2008-04-01,35.029999,36.860001,33.080002,34.68,734600,33.709747
2008-03-03,33.400002,36.23,31.879999,34.049999,1086000,33.09737
2008-02-01,36.16,37.220001,32.970001,33.540001,1330700,32.541435
2008-01-02,37.91,38.16,30.17,35.779999,1813900,34.714741
2007-12-03,36.200001,40.73,35.720001,37.990002,1320200,36.858948
2007-11-01,35.00,37.00,33.060001,35.959999,1960400,34.834167
2007-10-01,33.450001,35.799999,31.530001,34.119999,1152500,33.051773
2007-09-04,35.549999,35.630001,32.48,33.560001,1039900,32.509308
2007-08-01,34.669998,35.630001,29.51,35.560001,2615200,34.387638
2007-07-02,40.810001,42.00,34.77,34.77,1325800,33.623684
2007-06-01,41.549999,42.599998,39.220001,40.529999,984900,39.193783
2007-05-01,41.310001,42.919998,39.900002,41.419998,1275100,39.996078
2007-04-02,38.669998,43.619999,38.459999,41.200001,823100,39.783646
2007-03-01,37.549999,39.50,35.810001,38.549999,957600,37.224743
2007-02-01,37.990002,39.32,36.75,37.650002,1083900,36.299511
2007-01-03,35.709999,37.970001,34.900002,37.950001,702000,36.588749
2006-12-01,35.43,38.580002,34.970001,35.560001,1152500,34.284477
2006-11-01,35.25,38.549999,34.139999,35.599998,1425400,34.265274
2006-10-02,33.00,36.560001,32.900002,35.02,1018500,33.70702
2006-09-01,30.24,34.259998,30.049999,32.939999,1384300,31.705004
2006-08-01,30.26,31.24,27.65,30.120001,1023500,28.937178
2006-07-03,29.15,31.950001,28.52,30.27,1584600,29.081287
2006-06-01,38.119999,38.400002,28.40,28.90,1891300,27.765087
2006-05-01,40.110001,42.299999,36.990002,38.119999,1386400,36.56361
2006-04-03,41.50,41.779999,37.810001,40.220001,1396600,38.577869
2006-03-01,41.349998,44.060001,40.849998,41.639999,939100,39.939892
2006-02-01,43.50,45.50,40.25,41.349998,1148300,39.603973
2006-01-03,43.470001,44.790001,41.57,43.57,911900,41.730232
2005-12-01,42.580002,44.880001,41.77,43.459999,713200,41.624878
2005-11-01,37.50,43.599998,37.099998,42.34,997700,40.55217
2005-10-03,38.68,40.00,35.400002,37.50,1072800,35.916542
2005-09-01,60.469997,63.120003,37.450001,38.68,1076200,37.046715
2005-08-01,68.970001,71.590004,60.209999,60.93,1651000,38.904797
2005-07-01,64.739998,69.460007,63.439995,68.959999,773000,44.032082
2005-06-01,59.350006,66.049995,59.119995,64.549995,996200,41.216225
2005-05-02,53.500008,59.879997,52.840004,59.269993,1262500,37.844856
2005-04-01,50.550003,53.800003,48.689999,53.350006,1006100,34.064846
2005-03-01,50.629997,52.649998,48.700005,50.449997,1056600,32.213146
2005-02-01,43.099995,51.959999,42.959999,50.380005,1159000,32.168453
2005-01-03,43.999996,45.300003,42.199993,43.099995,720800,27.52005
2004-12-01,41.410004,43.750004,41.200005,43.68,1424800,27.890392
2004-11-01,38.950005,42.720001,38.699997,41.260006,1031200,26.345186
2004-10-01,34.50,39.499996,33.420002,39.119999,1395400,24.978758
2004-09-01,37.060005,37.939995,34.330002,34.399994,1438200,21.964958
2004-08-02,36.919998,37.699993,33.019997,37.060005,1520800,23.663418
2004-07-01,44.050007,44.099998,35.689995,37.120003,1534300,23.701729
2004-06-01,42.379997,46.170002,41.479996,44.179993,831200,28.209646
2004-05-03,43.000004,43.900005,40.120003,42.869999,825700,27.373194
2004-04-01,40.739998,44.410004,39.400005,43.150005,744600,27.551983
2004-03-01,39.949993,41.710003,38.170006,40.669998,851600,25.968456
2004-02-02,39.010006,43.000004,38.400002,39.449997,1289000,25.189468
2004-01-02,81.680008,82.689987,38.530006,38.920006,932300,24.851059
2003-12-01,81.699989,83.649986,75.339996,81.399986,1329200,25.98761
2003-11-03,78.519989,81.950012,76.50,81.62001,1171100,26.057854
2003-10-01,71.049988,80.499992,70.959991,78.219986,1217100,24.97237
2003-09-02,73.400009,74.639999,68.73999,70.899986,1262900,22.635399
2003-08-01,67.929993,75.200012,64.76001,74.649986,1707600,23.832617
2003-07-01,60.399986,69.00,59.300011,67.929993,1205100,21.687202
2003-06-02,59.480011,62.720009,56.799992,60.899998,2407400,19.442822
2003-05-01,49.50,61.250008,48.239998,59.480011,2256500,18.989477
2003-04-01,46.260002,50.949989,45.789993,49.739998,1226200,15.879901
2003-03-03,39.27,46.700012,37.800003,46.250008,1701100,14.765693
2003-02-03,44.000008,44.55999,36.989998,39.020012,2097100,12.457457
